05-05-2021_16-32-49 25.111.182.35 [INFO] starting radiation experiment...
05-05-2021_16-32-49 25.111.182.35 [INFO] BOARD HARD RESET...
05-05-2021_16-32-49 25.111.182.35 [INFO] EXPERIMENT RESUMED
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
05-05-2021_16-32-50 25.111.182.35 [INFO] unexpected output: 00000000
