05-05-2021_14-05-09 25.111.182.35 [INFO] starting radiation experiment...
05-05-2021_14-05-09 25.111.182.35 [INFO] BOARD HARD RESET...
05-05-2021_14-05-09 25.111.182.35 [INFO] EXPERIMENT RESUMED
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000c3bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000c4bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000c5bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000c6bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000c7bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000c8bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000c9bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000cabc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000cbbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000ccbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000cdbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000cebc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000cfbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000d0bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000d1bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000d2bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000d3bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000d4bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000d5bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000d6bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000d7bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000d8bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000d9bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000dabc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000dbbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000dcbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000ddbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000debc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000dfbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000e0bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000e1bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000e2bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000e3bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000e4bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000e5bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000e6bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000e7bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000e8bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000e9bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000eabc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000ebbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000ecbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000edbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000eebc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000efbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000f0bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000f1bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000f2bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000f3bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000f4bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000f5bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000f6bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000f7bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000f8bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000f9bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000fabc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000fbbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000fcbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000fdbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000febc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005c000000ffbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000000bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000001bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000002bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000003bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000004bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000005bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000006bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000007bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000008bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000009bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000000abc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000000bbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000000cbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000000dbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000000ebc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000000fbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000010bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000011bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000012bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000013bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000014bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000015bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000016bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000017bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000018bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000019bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000001abc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000001bbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000001cbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000001dbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000001ebc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000001fbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000020bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000021bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000022bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000023bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000024bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000025bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000026bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000027bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000028bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000029bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000002abc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000002bbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000002cbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000002dbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000002ebc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000002fbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000030bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000031bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000032bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000033bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000034bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000035bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000036bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000037bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000038bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000039bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000003abc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000003bbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000003cbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000003dbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000003ebc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000003fbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000040bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000041bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000042bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000043bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000044bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000045bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000046bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000047bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000048bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000049bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000004abc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000004bbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000004cbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000004dbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000004ebc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000004fbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000050bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000051bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000052bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000053bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000054bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000055bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000056bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000057bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000058bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d00000059bc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000005abc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000005bbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000005cbc86501000000000
05-05-2021_14-05-09 25.111.182.35 [PL] CC 0000005d0000005dbc86501000000000
